round,method,score,best_score,params,controller_values,controller_counts
7,sh,0.9634752747252747,0.9692390153119893,"{'n_estimators': 300, 'max_depth': 15}","{'random': np.float64(0.9145914911939138), 'optuna': 0.919439222360497, 'sh': np.float64(0.9247333662430418), 'hb': np.float64(0.9190654668181975)}","{'random': 2, 'optuna': 1, 'sh': 4, 'hb': 1}"
8,sh,0.9634651580545717,0.9692390153119893,"{'n_estimators': 200, 'max_depth': 20}","{'random': np.float64(0.9145914911939138), 'optuna': 0.919439222360497, 'sh': np.float64(0.9251727562162622), 'hb': np.float64(0.9190654668181975)}","{'random': 2, 'optuna': 1, 'sh': 5, 'hb': 1}"
9,sh,0.9520467032967034,0.9692390153119893,"{'n_estimators': 200, 'max_depth': 15}","{'random': np.float64(0.9145914911939138), 'optuna': 0.919439222360497, 'sh': np.float64(0.9216595312791196), 'hb': np.float64(0.9190654668181975)}","{'random': 2, 'optuna': 1, 'sh': 6, 'hb': 1}"
0,random,0.9766006603817431,-1,"{'n_estimators': 150, 'max_depth': None}","{'random': np.float64(0.9532013207634862), 'optuna': 0.0, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 0, 'sh': 0, 'hb': 0}"
1,optuna,0.9630939849020285,0.9766006603817431,"{'n_estimators': 190, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 0, 'hb': 0}"
2,sh,0.9531352336516731,0.9766006603817431,"{'n_estimators': 200, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9062704673033461), 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 0}"
3,hb,0.9651680284841552,0.9766006603817431,"{'n_estimators': 232, 'max_depth': 18}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9062704673033461), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 1}"
4,sh,0.9603325125632377,0.9766006603817431,"{'n_estimators': 200, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9134677462149108), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 2, 'hb': 1}"
5,sh,0.9466072974644403,0.9766006603817431,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.906716695786234), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 3, 'hb': 1}"
6,sh,0.9394100185528756,0.9766006603817431,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.8997425311161134), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 4, 'hb': 1}"
7,sh,0.9590292116846738,0.9766006603817431,"{'n_estimators': 200, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9034057095667603), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 5, 'hb': 1}"
8,sh,0.9590292116846738,0.9766006603817431,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9058478285338581), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 6, 'hb': 1}"
9,sh,0.9441601061477222,0.9766006603817431,"{'n_estimators': 300, 'max_depth': 20}","{'random': np.float64(0.9532013207634862), 'optuna': 0.9261879698040569, 'sh': np.float64(0.9033438833569419), 'hb': np.float64(0.9303360569683103)}","{'random': 1, 'optuna': 1, 'sh': 7, 'hb': 1}"
